id,name,category,description,price_krw,tags,example_query,embedding_text
1,로지텍 M331 무소음 무선 마우스,마우스,조용한 클릭음과 안정적인 무선 연결을 제공하는 사무용 마우스,25000,"사무용, 조용한 클릭, 무선, 가성비",조용한 사무용 마우스 추천,"로지텍 M331 무소음 무선 마우스. 카테고리: 마우스. 설명: 조용한 클릭음과 안정적인 무선 연결을 제공하는 사무용 마우스. 특징: 사무용, 조용한 클릭, 무선, 가성비. 가격: 25000원."
2,로지텍 MX Master 3S,마우스,정밀한 스크롤과 멀티 디바이스 연결을 지원하는 고급 생산성 마우스,129000,"고급형, 생산성, 무선, 멀티페어링",손목이 편한 고급 업무용 마우스,"로지텍 MX Master 3S. 카테고리: 마우스. 설명: 정밀한 스크롤과 멀티 디바이스 연결을 지원하는 고급 생산성 마우스. 특징: 고급형, 생산성, 무선, 멀티페어링. 가격: 129000원."
3,앱코 A660 유선 게이밍 마우스,마우스,빠른 반응속도와 RGB 조명을 갖춘 가벼운 유선 게이밍 마우스,29000,"게이밍, 유선, RGB, 빠른 반응",저렴한 게이밍 마우스,"앱코 A660 유선 게이밍 마우스. 카테고리: 마우스. 설명: 빠른 반응속도와 RGB 조명을 갖춘 가벼운 유선 게이밍 마우스. 특징: 게이밍, 유선, RGB, 빠른 반응. 가격: 29000원."
4,레이저 데스에더 V3,마우스,인체공학형 디자인과 높은 DPI를 제공하는 FPS 게이밍 마우스,89000,"FPS, 게이밍, 인체공학, 고성능",FPS 게임용 마우스,"레이저 데스에더 V3. 카테고리: 마우스. 설명: 인체공학형 디자인과 높은 DPI를 제공하는 FPS 게이밍 마우스. 특징: FPS, 게이밍, 인체공학, 고성능. 가격: 89000원."
5,샤오미 미 듀얼모드 무선 마우스,마우스,블루투스와 USB 리시버를 모두 지원하는 심플한 무선 마우스,19000,"무선, 블루투스, 휴대용, 저가",노트북에 들고 다닐 무선 마우스,"샤오미 미 듀얼모드 무선 마우스. 카테고리: 마우스. 설명: 블루투스와 USB 리시버를 모두 지원하는 심플한 무선 마우스. 특징: 무선, 블루투스, 휴대용, 저가. 가격: 19000원."
6,커세어 카타르 엘리트 무선,마우스,가벼운 무게와 빠른 무선 연결을 가진 게이밍 마우스,75000,"무선 게이밍, 경량, 빠른 반응",가벼운 무선 게이밍 마우스,"커세어 카타르 엘리트 무선. 카테고리: 마우스. 설명: 가벼운 무게와 빠른 무선 연결을 가진 게이밍 마우스. 특징: 무선 게이밍, 경량, 빠른 반응. 가격: 75000원."
7,키크론 K2 Pro 갈축,키보드,맥과 윈도우를 모두 지원하는 컴팩트한 무선 기계식 키보드,139000,"기계식, 무선, 갈축, 맥 호환",맥북용 무선 기계식 키보드,"키크론 K2 Pro 갈축. 카테고리: 키보드. 설명: 맥과 윈도우를 모두 지원하는 컴팩트한 무선 기계식 키보드. 특징: 기계식, 무선, 갈축, 맥 호환. 가격: 139000원."
8,앱코 K660 청축,키보드,선명한 타건감과 LED 조명을 제공하는 입문용 기계식 게이밍 키보드,39000,"청축, 게이밍, LED, 입문용",저렴한 청축 기계식 키보드,"앱코 K660 청축. 카테고리: 키보드. 설명: 선명한 타건감과 LED 조명을 제공하는 입문용 기계식 게이밍 키보드. 특징: 청축, 게이밍, LED, 입문용. 가격: 39000원."
9,로지텍 K380,키보드,작고 가벼우며 태블릿과 노트북에 연결하기 좋은 블루투스 키보드,42000,"블루투스, 휴대용, 멀티페어링, 조용함",아이패드에 쓸 휴대용 키보드,"로지텍 K380. 카테고리: 키보드. 설명: 작고 가벼우며 태블릿과 노트북에 연결하기 좋은 블루투스 키보드. 특징: 블루투스, 휴대용, 멀티페어링, 조용함. 가격: 42000원."
10,레오폴드 FC750R 저소음 적축,키보드,소음이 적고 안정적인 타건감을 가진 텐키리스 기계식 키보드,159000,"저소음, 적축, 텐키리스, 사무용",조용한 기계식 키보드,"레오폴드 FC750R 저소음 적축. 카테고리: 키보드. 설명: 소음이 적고 안정적인 타건감을 가진 텐키리스 기계식 키보드. 특징: 저소음, 적축, 텐키리스, 사무용. 가격: 159000원."
11,한성컴퓨터 GK898B 무접점,키보드,부드럽고 조용한 타건감을 제공하는 무접점 블루투스 키보드,149000,"무접점, 블루투스, 조용함, 사무용",타건감 좋은 조용한 키보드,"한성컴퓨터 GK898B 무접점. 카테고리: 키보드. 설명: 부드럽고 조용한 타건감을 제공하는 무접점 블루투스 키보드. 특징: 무접점, 블루투스, 조용함, 사무용. 가격: 149000원."
12,커세어 K70 RGB PRO,키보드,빠른 입력과 화려한 RGB를 지원하는 고급 게이밍 키보드,189000,"게이밍, RGB, 고급형, 빠른 입력",고성능 게이밍 키보드,"커세어 K70 RGB PRO. 카테고리: 키보드. 설명: 빠른 입력과 화려한 RGB를 지원하는 고급 게이밍 키보드. 특징: 게이밍, RGB, 고급형, 빠른 입력. 가격: 189000원."
13,LG 울트라기어 27GP850,모니터,27인치 QHD 해상도와 165Hz 주사율을 제공하는 게이밍 모니터,399000,"27인치, QHD, 165Hz, 게이밍",QHD 고주사율 게이밍 모니터,"LG 울트라기어 27GP850. 카테고리: 모니터. 설명: 27인치 QHD 해상도와 165Hz 주사율을 제공하는 게이밍 모니터. 특징: 27인치, QHD, 165Hz, 게이밍. 가격: 399000원."
14,삼성 오디세이 G5 32인치,모니터,32인치 커브드 화면과 144Hz 주사율을 가진 몰입형 게이밍 모니터,330000,"32인치, 커브드, 144Hz, 게이밍",큰 화면 게이밍 모니터,"삼성 오디세이 G5 32인치. 카테고리: 모니터. 설명: 32인치 커브드 화면과 144Hz 주사율을 가진 몰입형 게이밍 모니터. 특징: 32인치, 커브드, 144Hz, 게이밍. 가격: 330000원."
15,델 U2723QE 4K,모니터,4K 해상도와 USB-C 연결을 지원하는 색감 좋은 업무용 모니터,690000,"4K, USB-C, 색감, 업무용",맥북 연결용 4K 모니터,"델 U2723QE 4K. 카테고리: 모니터. 설명: 4K 해상도와 USB-C 연결을 지원하는 색감 좋은 업무용 모니터. 특징: 4K, USB-C, 색감, 업무용. 가격: 690000원."
16,LG 24MP400,모니터,24인치 FHD 화면을 제공하는 기본 사무용 모니터,140000,"24인치, FHD, 사무용, 저가",저렴한 사무용 모니터,"LG 24MP400. 카테고리: 모니터. 설명: 24인치 FHD 화면을 제공하는 기본 사무용 모니터. 특징: 24인치, FHD, 사무용, 저가. 가격: 140000원."
17,벤큐 GW2780,모니터,눈 보호 기능과 깔끔한 디자인을 갖춘 27인치 사무용 모니터,210000,"27인치, 눈보호, 사무용, FHD",눈 편한 업무용 모니터,"벤큐 GW2780. 카테고리: 모니터. 설명: 눈 보호 기능과 깔끔한 디자인을 갖춘 27인치 사무용 모니터. 특징: 27인치, 눈보호, 사무용, FHD. 가격: 210000원."
18,알파스캔 AOC 27B2,모니터,가성비 좋은 27인치 FHD IPS 모니터,180000,"27인치, FHD, IPS, 가성비",가성비 27인치 모니터,"알파스캔 AOC 27B2. 카테고리: 모니터. 설명: 가성비 좋은 27인치 FHD IPS 모니터. 특징: 27인치, FHD, IPS, 가성비. 가격: 180000원."
19,애플 에어팟 프로 2세대,이어폰,강력한 노이즈 캔슬링과 공간 음향을 지원하는 무선 이어폰,329000,"무선, 노이즈캔슬링, 아이폰, 고급형",아이폰용 노이즈캔슬링 이어폰,"애플 에어팟 프로 2세대. 카테고리: 이어폰. 설명: 강력한 노이즈 캔슬링과 공간 음향을 지원하는 무선 이어폰. 특징: 무선, 노이즈캔슬링, 아이폰, 고급형. 가격: 329000원."
20,삼성 갤럭시 버즈3 프로,이어폰,갤럭시 기기와 잘 연동되고 노이즈 캔슬링을 지원하는 무선 이어폰,299000,"무선, 노이즈캔슬링, 갤럭시, 고급형",갤럭시용 무선 이어폰,"삼성 갤럭시 버즈3 프로. 카테고리: 이어폰. 설명: 갤럭시 기기와 잘 연동되고 노이즈 캔슬링을 지원하는 무선 이어폰. 특징: 무선, 노이즈캔슬링, 갤럭시, 고급형. 가격: 299000원."
21,소니 WF-1000XM5,이어폰,뛰어난 노이즈 캔슬링과 음질을 제공하는 프리미엄 무선 이어폰,359000,"프리미엄, 음질, 노이즈캔슬링, 무선",음질 좋은 노이즈캔슬링 이어폰,"소니 WF-1000XM5. 카테고리: 이어폰. 설명: 뛰어난 노이즈 캔슬링과 음질을 제공하는 프리미엄 무선 이어폰. 특징: 프리미엄, 음질, 노이즈캔슬링, 무선. 가격: 359000원."
22,QCY T13 ANC,이어폰,저렴한 가격에 노이즈 캔슬링을 지원하는 가성비 무선 이어폰,29000,"가성비, 무선, ANC, 저가",싼 노이즈캔슬링 이어폰,"QCY T13 ANC. 카테고리: 이어폰. 설명: 저렴한 가격에 노이즈 캔슬링을 지원하는 가성비 무선 이어폰. 특징: 가성비, 무선, ANC, 저가. 가격: 29000원."
23,젠하이저 모멘텀 트루 와이어리스 4,이어폰,선명한 음질과 안정적인 착용감을 제공하는 고급 무선 이어폰,389000,"음질, 고급형, 무선, 착용감",음악 감상용 고급 이어폰,"젠하이저 모멘텀 트루 와이어리스 4. 카테고리: 이어폰. 설명: 선명한 음질과 안정적인 착용감을 제공하는 고급 무선 이어폰. 특징: 음질, 고급형, 무선, 착용감. 가격: 389000원."
24,샤오미 레드미 버즈 5,이어폰,가벼운 착용감과 긴 배터리를 가진 저가형 무선 이어폰,45000,"저가, 배터리, 무선, 가벼움",저렴하고 오래가는 무선 이어폰,"샤오미 레드미 버즈 5. 카테고리: 이어폰. 설명: 가벼운 착용감과 긴 배터리를 가진 저가형 무선 이어폰. 특징: 저가, 배터리, 무선, 가벼움. 가격: 45000원."
25,LG 그램 14,노트북,가벼운 무게와 긴 배터리를 제공하는 휴대용 사무용 노트북,1450000,"가벼움, 배터리, 사무용, 휴대성",대학생이 들고 다닐 가벼운 노트북,"LG 그램 14. 카테고리: 노트북. 설명: 가벼운 무게와 긴 배터리를 제공하는 휴대용 사무용 노트북. 특징: 가벼움, 배터리, 사무용, 휴대성. 가격: 1450000원."
26,삼성 갤럭시북4 프로,노트북,선명한 OLED 화면과 얇은 디자인을 갖춘 고급 업무용 노트북,1690000,"OLED, 업무용, 얇음, 고급형",화면 좋은 업무용 노트북,"삼성 갤럭시북4 프로. 카테고리: 노트북. 설명: 선명한 OLED 화면과 얇은 디자인을 갖춘 고급 업무용 노트북. 특징: OLED, 업무용, 얇음, 고급형. 가격: 1690000원."
27,맥북 에어 M3 13인치,노트북,조용하고 배터리가 오래가는 macOS 기반 휴대용 노트북,1590000,"맥북, 배터리, 조용함, 휴대성",코딩용 가벼운 맥북,"맥북 에어 M3 13인치. 카테고리: 노트북. 설명: 조용하고 배터리가 오래가는 macOS 기반 휴대용 노트북. 특징: 맥북, 배터리, 조용함, 휴대성. 가격: 1590000원."
28,레노버 리전 5i,노트북,고성능 그래픽카드와 냉각 성능을 갖춘 게이밍 노트북,1790000,"게이밍, 고성능, 그래픽, 쿨링",게임 잘 되는 노트북,"레노버 리전 5i. 카테고리: 노트북. 설명: 고성능 그래픽카드와 냉각 성능을 갖춘 게이밍 노트북. 특징: 게이밍, 고성능, 그래픽, 쿨링. 가격: 1790000원."
29,에이수스 비보북 15,노트북,문서 작업과 온라인 강의에 적합한 가성비 노트북,690000,"가성비, 문서작업, 온라인강의, FHD",저렴한 대학생 노트북,"에이수스 비보북 15. 카테고리: 노트북. 설명: 문서 작업과 온라인 강의에 적합한 가성비 노트북. 특징: 가성비, 문서작업, 온라인강의, FHD. 가격: 690000원."
30,HP 파빌리온 14,노트북,깔끔한 디자인과 무난한 성능을 가진 일상용 노트북,890000,"일상용, 문서작업, 휴대성, 무난함",문서 작업용 노트북,"HP 파빌리온 14. 카테고리: 노트북. 설명: 깔끔한 디자인과 무난한 성능을 가진 일상용 노트북. 특징: 일상용, 문서작업, 휴대성, 무난함. 가격: 890000원."
31,아이패드 에어 11인치,태블릿,필기와 영상 시청에 적합한 가볍고 빠른 태블릿,899000,"태블릿, 필기, 영상, 휴대성",대학생 필기용 태블릿,"아이패드 에어 11인치. 카테고리: 태블릿. 설명: 필기와 영상 시청에 적합한 가볍고 빠른 태블릿. 특징: 태블릿, 필기, 영상, 휴대성. 가격: 899000원."
32,갤럭시탭 S9 FE,태블릿,S펜을 지원하고 강의 필기와 PDF 공부에 적합한 태블릿,629000,"태블릿, S펜, 필기, 공부",PDF 필기용 안드로이드 태블릿,"갤럭시탭 S9 FE. 카테고리: 태블릿. 설명: S펜을 지원하고 강의 필기와 PDF 공부에 적합한 태블릿. 특징: 태블릿, S펜, 필기, 공부. 가격: 629000원."
33,레노버 P12,태블릿,영상 시청과 웹서핑에 적합한 저렴한 안드로이드 태블릿,199000,"태블릿, 영상, 저가, 안드로이드",넷플릭스용 저렴한 태블릿,"레노버 P12. 카테고리: 태블릿. 설명: 영상 시청과 웹서핑에 적합한 저렴한 안드로이드 태블릿. 특징: 태블릿, 영상, 저가, 안드로이드. 가격: 199000원."
34,마이크로소프트 서피스 프로 10,태블릿,노트북처럼 사용할 수 있는 윈도우 기반 2-in-1 태블릿,1590000,"윈도우, 2-in-1, 업무용, 필기",노트북 겸용 태블릿,"마이크로소프트 서피스 프로 10. 카테고리: 태블릿. 설명: 노트북처럼 사용할 수 있는 윈도우 기반 2-in-1 태블릿. 특징: 윈도우, 2-in-1, 업무용, 필기. 가격: 1590000원."
35,삼성 T7 Shield 1TB,외장SSD,충격에 강하고 빠른 속도를 제공하는 휴대용 외장 SSD,135000,"외장SSD, 1TB, 휴대용, 내구성",빠른 휴대용 저장장치,"삼성 T7 Shield 1TB. 카테고리: 외장SSD. 설명: 충격에 강하고 빠른 속도를 제공하는 휴대용 외장 SSD. 특징: 외장SSD, 1TB, 휴대용, 내구성. 가격: 135000원."
36,WD My Passport 2TB,외장하드,사진과 영상 백업에 적합한 대용량 외장하드,110000,"외장하드, 2TB, 백업, 대용량",사진 백업용 저장장치,"WD My Passport 2TB. 카테고리: 외장하드. 설명: 사진과 영상 백업에 적합한 대용량 외장하드. 특징: 외장하드, 2TB, 백업, 대용량. 가격: 110000원."
37,샌디스크 울트라 USB 128GB,USB메모리,가볍게 들고 다니며 파일을 옮기기 좋은 USB 메모리,19000,"USB, 128GB, 휴대용, 저가",저렴한 파일 이동용 USB,"샌디스크 울트라 USB 128GB. 카테고리: USB메모리. 설명: 가볍게 들고 다니며 파일을 옮기기 좋은 USB 메모리. 특징: USB, 128GB, 휴대용, 저가. 가격: 19000원."
38,씨게이트 바라쿠다 4TB HDD,저장장치,데스크톱 저장공간 확장에 적합한 대용량 HDD,135000,"HDD, 4TB, 데스크톱, 대용량",컴퓨터 저장공간 확장,"씨게이트 바라쿠다 4TB HDD. 카테고리: 저장장치. 설명: 데스크톱 저장공간 확장에 적합한 대용량 HDD. 특징: HDD, 4TB, 데스크톱, 대용량. 가격: 135000원."
39,앤커 나노 65W 충전기,충전기,노트북과 스마트폰을 함께 충전할 수 있는 소형 고속 충전기,49000,"65W, 고속충전, 휴대용, USB-C",노트북 스마트폰 겸용 충전기,"앤커 나노 65W 충전기. 카테고리: 충전기. 설명: 노트북과 스마트폰을 함께 충전할 수 있는 소형 고속 충전기. 특징: 65W, 고속충전, 휴대용, USB-C. 가격: 49000원."
40,벨킨 3in1 맥세이프 충전기,충전기,"아이폰, 애플워치, 에어팟을 동시에 충전하는 무선 충전기",189000,"맥세이프, 3in1, 애플, 무선충전",애플 기기 여러 개 충전,"벨킨 3in1 맥세이프 충전기. 카테고리: 충전기. 설명: 아이폰, 애플워치, 에어팟을 동시에 충전하는 무선 충전기. 특징: 맥세이프, 3in1, 애플, 무선충전. 가격: 189000원."
41,삼성 25W PD 충전기,충전기,갤럭시 스마트폰에 적합한 기본형 고속 충전기,23000,"25W, PD, 갤럭시, 저가",갤럭시용 고속 충전기,"삼성 25W PD 충전기. 카테고리: 충전기. 설명: 갤럭시 스마트폰에 적합한 기본형 고속 충전기. 특징: 25W, PD, 갤럭시, 저가. 가격: 23000원."
42,UGREEN 100W GaN 충전기,충전기,여러 포트와 높은 출력을 제공하는 노트북용 고속 충전기,79000,"100W, GaN, 멀티포트, 노트북",고출력 멀티 충전기,"UGREEN 100W GaN 충전기. 카테고리: 충전기. 설명: 여러 포트와 높은 출력을 제공하는 노트북용 고속 충전기. 특징: 100W, GaN, 멀티포트, 노트북. 가격: 79000원."
43,로지텍 C920 웹캠,웹캠,FHD 화질과 안정적인 마이크를 제공하는 화상회의용 웹캠,89000,"웹캠, FHD, 화상회의, 온라인수업",줌 수업용 웹캠,"로지텍 C920 웹캠. 카테고리: 웹캠. 설명: FHD 화질과 안정적인 마이크를 제공하는 화상회의용 웹캠. 특징: 웹캠, FHD, 화상회의, 온라인수업. 가격: 89000원."
44,엘가토 페이스캠 MK.2,웹캠,선명한 화질을 제공하는 스트리밍용 고급 웹캠,199000,"스트리밍, 고급형, 웹캠, 선명한 화질",방송용 웹캠,"엘가토 페이스캠 MK.2. 카테고리: 웹캠. 설명: 선명한 화질을 제공하는 스트리밍용 고급 웹캠. 특징: 스트리밍, 고급형, 웹캠, 선명한 화질. 가격: 199000원."
45,브리츠 BA-R9 사운드바,스피커,책상 위에 두기 좋은 슬림한 PC용 사운드바 스피커,29000,"스피커, 사운드바, PC, 저가",저렴한 컴퓨터 스피커,"브리츠 BA-R9 사운드바. 카테고리: 스피커. 설명: 책상 위에 두기 좋은 슬림한 PC용 사운드바 스피커. 특징: 스피커, 사운드바, PC, 저가. 가격: 29000원."
46,보스 사운드링크 플렉스,스피커,휴대성과 방수 기능을 갖춘 블루투스 스피커,179000,"블루투스, 방수, 휴대용, 음질",캠핑용 블루투스 스피커,"보스 사운드링크 플렉스. 카테고리: 스피커. 설명: 휴대성과 방수 기능을 갖춘 블루투스 스피커. 특징: 블루투스, 방수, 휴대용, 음질. 가격: 179000원."
47,소니 WH-1000XM5,헤드폰,강력한 노이즈 캔슬링과 편안한 착용감을 가진 무선 헤드폰,499000,"헤드폰, 노이즈캔슬링, 음질, 고급형",공부용 노이즈캔슬링 헤드폰,"소니 WH-1000XM5. 카테고리: 헤드폰. 설명: 강력한 노이즈 캔슬링과 편안한 착용감을 가진 무선 헤드폰. 특징: 헤드폰, 노이즈캔슬링, 음질, 고급형. 가격: 499000원."
48,앱코 N550 헤드셋,헤드셋,마이크와 가상 7.1채널을 지원하는 저렴한 게이밍 헤드셋,35000,"헤드셋, 게이밍, 마이크, 저가",디스코드용 게이밍 헤드셋,"앱코 N550 헤드셋. 카테고리: 헤드셋. 설명: 마이크와 가상 7.1채널을 지원하는 저렴한 게이밍 헤드셋. 특징: 헤드셋, 게이밍, 마이크, 저가. 가격: 35000원."
49,아이리버 EQwear-EV3 버티컬 마우스,마우스,손목 부담을 줄여주는 인체공학 버티컬 무선 마우스,32000,"버티컬, 손목보호, 무선, 사무용",손목 편한 저렴한 마우스,"아이리버 EQwear-EV3 버티컬 마우스. 카테고리: 마우스. 설명: 손목 부담을 줄여주는 인체공학 버티컬 무선 마우스. 특징: 버티컬, 손목보호, 무선, 사무용. 가격: 32000원."
50,로지텍 팝 마우스,마우스,귀여운 디자인과 조용한 클릭감을 가진 휴대용 무선 마우스,34000,"디자인, 무선, 조용함, 휴대용",예쁜 무선 마우스,"로지텍 팝 마우스. 카테고리: 마우스. 설명: 귀여운 디자인과 조용한 클릭감을 가진 휴대용 무선 마우스. 특징: 디자인, 무선, 조용함, 휴대용. 가격: 34000원."
